t,x,y,z,roll,pitch,heading,u,v,w,p,q,r,lon,lat,left,right,bow_ver,bow_hor,stern_ver,stern_hor,elevator,rudder,
0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003917,0.00000001,0.06096571,-0.00000003,-0.00142643,-0.00000039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.10000000,0.00000196,0.00000000,0.00304829,-0.00000000,-0.00007132,6.28318529,0.00010228,0.00000001,0.12186185,-0.00000007,-0.00285492,-0.00000077,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.15000000,0.00000664,0.00000000,0.00914138,-0.00000001,-0.00021407,6.28318525,0.00024960,0.00000008,0.18108060,-0.00000010,-0.00424143,-0.00000101,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.20000000,0.00001718,0.00000000,0.01819541,-0.00000001,-0.00042614,6.28318520,0.00053766,0.00000006,0.23708146,-0.00000014,-0.00554188,-0.00000126,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.25000000,0.00003901,0.00000001,0.03004949,-0.00000002,-0.00070323,6.28318514,0.00101376,0.00000003,0.28846602,-0.00000018,-0.00671375,-0.00000139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.30000000,0.00007956,0.00000001,0.04447283,-0.00000003,-0.00103892,6.28318507,0.00171139,0.00000005,0.33406195,-0.00000022,-0.00771790,-0.00000146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.35000000,0.00014777,0.00000001,0.06117600,-0.00000004,-0.00142482,6.28318499,0.00264494,0.00000006,0.37296997,-0.00000027,-0.00852092,-0.00000150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.40000000,0.00025345,0.00000002,0.07982467,-0.00000005,-0.00185086,6.28318492,0.00380864,-0.00000003,0.40462873,-0.00000032,-0.00909736,-0.00000146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.45000000,0.00040643,0.00000002,0.10005643,-0.00000007,-0.00230573,6.28318484,0.00517686,0.00000005,0.42878112,-0.00000036,-0.00943214,-0.00000147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.50000000,0.00061584,0.00000002,0.12149602,-0.00000008,-0.00277734,6.28318477,0.00670583,0.00000003,0.44548837,-0.00000040,-0.00952214,-0.00000147,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
0.55000000,0.00088927,0.00000002,0.14377129,-0.00000010,-0.00325344,6.28318470,0.00833920,-0.00000003,0.45507871,-0.00000045,-0.00937712,-0.00000143,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
