date,x(m),y(m),z(m),phi(°),theta(°),psi(°)
0.033,-0.00002,-0.00000,0.00607,0.00000,-0.00021,0.00000
0.067,-0.00004,-0.00000,0.01757,0.00000,-0.00051,0.00000
0.100,-0.00007,-0.00000,0.03377,0.00001,-0.00084,0.00000
0.133,-0.00009,-0.00000,0.05396,0.00001,-0.00120,0.00000
0.167,-0.00011,-0.00001,0.07743,0.00002,-0.00162,0.00000
0.200,-0.00012,-0.00001,0.10357,0.00003,-0.00213,0.00000
0.233,-0.00013,-0.00002,0.13182,0.00005,-0.00274,0.00001
0.267,-0.00013,-0.00003,0.16174,0.00007,-0.00347,0.00001
0.300,-0.00012,-0.00005,0.19295,0.00013,-0.00429,0.00001
0.333,-0.00009,-0.00008,0.22437,0.00019,-0.00481,0.00001
0.367,-0.00006,-0.00012,0.25480,0.00021,-0.00514,0.00002
0.400,-0.00004,-0.00016,0.28335,0.00021,-0.00534,0.00002
0.433,-0.00002,-0.00020,0.30919,0.00021,-0.00544,0.00003
0.467,0.00001,-0.00025,0.33175,0.00021,-0.00541,0.00004
0.500,0.00004,-0.00030,0.35077,0.00020,-0.00526,0.00006
0.533,0.00010,-0.00029,0.36595,0.00004,-0.00495,0.00007
0.567,0.00020,-0.00027,0.37691,-0.00006,-0.00450,0.00009
0.600,0.00036,-0.00017,0.38374,-0.00030,-0.00388,0.00012
0.633,0.00061,-0.00005,0.38639,-0.00043,-0.00313,0.00014
0.667,0.00097,0.00010,0.38467,-0.00051,-0.00228,0.00017
0.700,0.00146,0.00028,0.37887,-0.00054,-0.00137,0.00020
0.733,0.00212,0.00051,0.36927,-0.00054,-0.00044,0.00024
0.767,0.00295,0.00078,0.35629,-0.00053,0.00043,0.00028
0.800,0.00397,0.00121,0.34049,-0.00072,0.00121,0.00032
0.833,0.00519,0.00169,0.32248,-0.00081,0.00183,0.00037
0.867,0.00660,0.00224,0.30271,-0.00085,0.00225,0.00042
0.900,0.00820,0.00285,0.28182,-0.00085,0.00244,0.00048
0.933,0.00996,0.00354,0.26060,-0.00083,0.00240,0.00054
0.967,0.01189,0.00429,0.23934,-0.00080,0.00214,0.00061
1.000,0.01395,0.00510,0.21862,-0.00076,0.00168,0.00069
1.033,0.01613,0.00598,0.19859,-0.00072,0.00104,0.00077
1.067,0.01841,0.00693,0.17963,-0.00068,0.00028,0.00086
1.100,0.02079,0.00794,0.16187,-0.00063,-0.00056,0.00095
1.133,0.02324,0.00901,0.14523,-0.00058,-0.00145,0.00106
1.167,0.02575,0.01014,0.12975,-0.00054,-0.00236,0.00117
1.200,0.02833,0.01133,0.11553,-0.00049,-0.00323,0.00128
1.233,0.03095,0.01252,0.10237,-0.00030,-0.00404,0.00142
1.267,0.03361,0.01372,0.09017,-0.00004,-0.00477,0.00155
1.300,0.03630,0.01497,0.07882,0.00013,-0.00541,0.00170
1.333,0.03902,0.01628,0.06833,0.00025,-0.00594,0.00184
1.367,0.04176,0.01758,0.05854,0.00045,-0.00635,0.00199
1.400,0.04450,0.01893,0.04916,0.00058,-0.00667,0.00214
