t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00000456,0.00000233,0.00184432,-0.00001537,-0.00003065,-0.00000167,-0.00027386,0.00014000,0.11065944,-0.00092217,-0.00183883,-0.00010023
0.03333333,-0.00001315,0.00000679,0.00546496,-0.00004247,-0.00008728,-0.00000512,-0.00050876,0.00027087,0.21723840,-0.00162597,-0.00339785,-0.00020718
0.05000000,-0.00002553,0.00001308,0.01078596,-0.00007832,-0.00016671,-0.00001034,-0.00071464,0.00039055,0.31925988,-0.00215082,-0.00476618,-0.00031296
0.06666667,-0.00004172,0.00002083,0.01772499,-0.00012047,-0.00026727,-0.00001711,-0.00090215,0.00049772,0.41634204,-0.00252917,-0.00603349,-0.00040724
0.08333333,-0.00006199,0.00002967,0.02619499,-0.00016693,-0.00038852,-0.00002509,-0.00108037,0.00059167,0.50820016,-0.00278768,-0.00727480,-0.00047940
0.10000000,-0.00008672,0.00003922,0.03610573,-0.00021606,-0.00053058,-0.00003386,-0.00125266,0.00067209,0.59464502,-0.00294831,-0.00852322,-0.00052760
0.11666667,-0.00011636,0.00005031,0.04736535,-0.00027415,-0.00069376,-0.00004347,-0.00141978,0.00081173,0.67557790,-0.00348562,-0.00979086,-0.00057861
0.13333333,-0.00015161,0.00006308,0.05988172,-0.00034249,-0.00087983,-0.00005437,-0.00159397,0.00097183,0.75098316,-0.00410073,-0.01116386,-0.00065719
0.15000000,-0.00019341,0.00007686,0.07356368,-0.00041759,-0.00109177,-0.00006618,-0.00178627,0.00110785,0.82091883,-0.00450699,-0.01271612,-0.00071319
0.16666667,-0.00024249,0.00009139,0.08832208,-0.00049871,-0.00133057,-0.00007865,-0.00197767,0.00124122,0.88550620,-0.00486767,-0.01432803,-0.00075381
0.18333333,-0.00029971,0.00010730,0.10407067,-0.00059052,-0.00159807,-0.00009214,-0.00217599,0.00142581,0.94491879,-0.00550985,-0.01604956,-0.00081767
0.20000000,-0.00036594,0.00012376,0.12072679,-0.00068882,-0.00189552,-0.00010630,-0.00237696,0.00157746,0.99937154,-0.00589958,-0.01784629,-0.00085994
0.21666667,-0.00044200,0.00014148,0.13821187,-0.00079815,-0.00222362,-0.00012119,-0.00257507,0.00178497,1.04911046,-0.00656122,-0.01968544,-0.00090690
0.23333333,-0.00052862,0.00015946,0.15645179,-0.00091368,-0.00258224,-0.00013676,-0.00276421,0.00195202,1.09440315,-0.00693404,-0.02151632,-0.00095172
0.25000000,-0.00062648,0.00017817,0.17537714,-0.00103805,-0.00297072,-0.00015281,-0.00293939,0.00215898,1.13553038,-0.00746468,-0.02330839,-0.00098425
0.26666667,-0.00073614,0.00019753,0.19492324,-0.00117078,-0.00338758,-0.00016958,-0.00309543,0.00237822,1.17277888,-0.00796638,-0.02501006,-0.00103204
0.28333333,-0.00085784,0.00021671,0.21503024,-0.00130791,-0.00382978,-0.00018716,-0.00321529,0.00256189,1.20643530,-0.00823147,-0.02653083,-0.00108567
0.30000000,-0.00099188,0.00023579,0.23564294,-0.00144947,-0.00429455,-0.00020505,-0.00330629,0.00276124,1.23678132,-0.00849780,-0.02788467,-0.00110994
0.31666667,-0.00113834,0.00025473,0.25671072,-0.00159437,-0.00477796,-0.00022378,-0.00335937,0.00296677,1.26408987,-0.00869907,-0.02900305,-0.00116571
0.33333333,-0.00129681,0.00027242,0.27818730,-0.00173791,-0.00527442,-0.00024342,-0.00335125,0.00311377,1.28862225,-0.00861754,-0.02978557,-0.00122628
0.35000000,-0.00146630,0.00028894,0.29994990,-0.00180550,-0.00577818,-0.00026368,-0.00328241,0.00325767,1.30578789,-0.00406183,-0.03022362,-0.00126791
0.36666667,-0.00164501,0.00030676,0.32175604,-0.00181755,-0.00628355,-0.00028461,-0.00316305,0.00342875,1.30840460,-0.00073049,-0.03032021,-0.00131057
0.38333333,-0.00183064,0.00032768,0.34338544,-0.00178999,-0.00678384,-0.00030645,-0.00298347,0.00361099,1.29780376,0.00164504,-0.03001495,-0.00136485
0.40000000,-0.00202014,0.00035222,0.36464007,-0.00173421,-0.00727115,-0.00032945,-0.00271866,0.00375206,1.27532063,0.00333745,-0.02923589,-0.00143224
0.41666667,-0.00221012,0.00038105,0.38534353,-0.00166038,-0.00773746,-0.00035337,-0.00236673,0.00387991,1.24225307,0.00441969,-0.02797591,-0.00148366
0.43333333,-0.00239715,0.00041424,0.40534000,-0.00157626,-0.00817487,-0.00037824,-0.00193916,0.00398010,1.19983389,0.00503558,-0.02624195,-0.00153599
0.45000000,-0.00257752,0.00045145,0.42449281,-0.00148779,-0.00857532,-0.00040412,-0.00142845,0.00403950,1.14921431,0.00529581,-0.02402470,-0.00159056
0.46666667,-0.00274722,0.00049165,0.44268304,-0.00139946,-0.00893083,-0.00043107,-0.00082334,0.00403176,1.09145593,0.00528555,-0.02132834,-0.00164854
0.48333333,-0.00290208,0.00053386,0.45980790,-0.00131488,-0.00923377,-0.00045892,-0.00011646,0.00396670,1.02752892,0.00505990,-0.01817383,-0.00169614
0.50000000,-0.00303801,0.00057684,0.47577930,-0.00123679,-0.00947692,-0.00048765,0.00069192,0.00383496,0.95831462,0.00466961,-0.01458694,-0.00174306
0.51666667,-0.00315088,0.00061915,0.49052247,-0.00116733,-0.00965373,-0.00051722,0.00161013,0.00362941,0.88461082,0.00415084,-0.01060644,-0.00178716
0.53333333,-0.00323682,0.00065927,0.50397464,-0.00110815,-0.00975816,-0.00054748,0.00263418,0.00334705,0.80713863,0.00353342,-0.00626381,-0.00182278
