t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00001571,-0.00001159,0.00184432,0.00005655,-0.00008091,0.00000130,-0.00094250,-0.00069535,0.11065944,0.00339282,-0.00485465,0.00007808
0.03333333,-0.00004651,-0.00003414,0.00546496,0.00015773,-0.00023694,0.00000397,-0.00183032,-0.00136523,0.21723840,0.00607083,-0.00936157,0.00016082
0.05000000,-0.00009216,-0.00006666,0.01078596,0.00029376,-0.00046291,0.00000811,-0.00266356,-0.00200191,0.31925990,0.00816223,-0.01355857,0.00025022
0.06666667,-0.00015273,-0.00010795,0.01772498,0.00045660,-0.00075413,0.00001372,-0.00344139,-0.00259969,0.41634207,0.00977063,-0.01747263,0.00034163
0.08333333,-0.00022843,-0.00015666,0.02619495,0.00063959,-0.00110594,0.00002100,-0.00415914,-0.00315450,0.50820019,0.01097944,-0.02110876,0.00044640
0.10000000,-0.00031974,-0.00021138,0.03610564,0.00083718,-0.00151419,0.00003001,-0.00482051,-0.00366348,0.59464501,0.01185591,-0.02449429,0.00055661
0.11666667,-0.00042722,-0.00027211,0.04735537,0.00100095,-0.00197501,0.00004080,-0.00542718,-0.00420849,0.67498974,0.00982718,-0.02764899,0.00067049
0.13333333,-0.00055114,-0.00033827,0.05976491,0.00106804,-0.00248398,0.00005356,-0.00596469,-0.00471467,0.74458130,0.00402684,-0.03053716,0.00079639
0.15000000,-0.00069180,-0.00041171,0.07313252,0.00106226,-0.00303714,0.00006855,-0.00644747,-0.00526254,0.80206971,-0.00034415,-0.03318892,0.00093433
0.16666667,-0.00084904,-0.00049359,0.08725644,0.00100193,-0.00362982,0.00008569,-0.00686075,-0.00581225,0.84745404,-0.00361698,-0.03555957,0.00106675
0.18333333,-0.00102258,-0.00058515,0.10193881,0.00090262,-0.00425727,0.00010556,-0.00721556,-0.00637566,0.88096852,-0.00595445,-0.03764568,0.00122951
0.20000000,-0.00121156,-0.00068731,0.11698886,0.00077716,-0.00491393,0.00012812,-0.00749465,-0.00694334,0.90303709,-0.00752158,-0.03939845,0.00138920
0.21666667,-0.00141504,-0.00080113,0.13222528,0.00063663,-0.00559428,0.00015386,-0.00771771,-0.00753834,0.91422864,-0.00842400,-0.04081972,0.00157639
0.23333333,-0.00163126,-0.00092619,0.14747798,0.00048844,-0.00629173,0.00018300,-0.00785415,-0.00808393,0.91521518,-0.00888191,-0.04184566,0.00177505
0.25000000,-0.00185860,-0.00106269,0.16258917,0.00033964,-0.00699992,0.00021557,-0.00793755,-0.00863072,0.90673513,-0.00891561,-0.04249080,0.00197439
